Nutrient group,Variable,Value,Commodity
Total fat (g) - Total population - Children age 2–19,Away from home-Other-2015–16,5.56,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Adults age 20–64,Away from home-Other-2015–16,5.48,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Seniors age 65 and above,Away from home-Other-2015–16,4.90,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Household income < 185% poverty line,Away from home-Other-2015–16,5.39,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Household income 185–300% poverty line,Away from home-Other-2015–16,5.70,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Household income > 300% poverty line,Away from home-Other-2015–16,5.29,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population,Away from home-Other-2015–16,229.98,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Children age 2–19,Away from home-Other-2015–16,204.77,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Adults age 20–64,Away from home-Other-2015–16,240.85,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Seniors age 65 and above,Away from home-Other-2015–16,227.14,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Household income < 185% poverty line,Away from home-Other-2015–16,234.59,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Household income 185–300% poverty line,Away from home-Other-2015–16,241.91,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Household income > 300% poverty line,Away from home-Other-2015–16,220.38,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population,Total - 2017–18,2093.14,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Children age 2–19,Total - 2017–18,1894.42,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Adults age 20–64,Total - 2017–18,2207.05,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Seniors age 65 and above,Total - 2017–18,1955.41,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Household income < 185% poverty line,Total - 2017–18,2032.53,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Household income 185–300% poverty line,Total - 2017–18,2160.13,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Household income > 300% poverty line,Total - 2017–18,2126.73,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population,Total - 2017–18,968.02,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Children age 2–19,Total - 2017–18,973.21,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Adults age 20–64,Total - 2017–18,987.60,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Seniors age 65 and above,Total - 2017–18,884.85,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Household income < 185% poverty line,Total - 2017–18,934.46,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Household income 185–300% poverty line,Total - 2017–18,981.60,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Household income > 300% poverty line,Total - 2017–18,995.09,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population,Total - 2017–18,287.39,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Children age 2–19,Total - 2017–18,225.08,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Adults age 20–64,Total - 2017–18,314.48,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Seniors age 65 and above,Total - 2017–18,277.40,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Household income < 185% poverty line,Total - 2017–18,271.60,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Household income 185–300% poverty line,Total - 2017–18,297.09,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Household income > 300% poverty line,Total - 2017–18,298.94,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population,Total - 2017–18,16.21,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Children age 2–19,Total - 2017–18,14.13,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Adults age 20–64,Total - 2017–18,16.86,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Seniors age 65 and above,Total - 2017–18,16.87,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Household income < 185% poverty line,Total - 2017–18,15.46,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Household income 185–300% poverty line,Total - 2017–18,16.26,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Household income > 300% poverty line,Total - 2017–18,16.91,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population,Total - 2017–18,13.97,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Children age 2–19,Total - 2017–18,13.22,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Adults age 20–64,Total - 2017–18,14.30,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Seniors age 65 and above,Total - 2017–18,13.84,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Household income < 185% poverty line,Total - 2017–18,13.82,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Household income 185–300% poverty line,Total - 2017–18,14.53,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Household income > 300% poverty line,Total - 2017–18,13.91,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population,Total - 2017–18,28.01,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Children age 2–19,Total - 2017–18,25.81,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Adults age 20–64,Total - 2017–18,29.20,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Seniors age 65 and above,Total - 2017–18,26.73,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Household income < 185% poverty line,Total - 2017–18,26.40,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Household income 185–300% poverty line,Total - 2017–18,29.20,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Household income > 300% poverty line,Total - 2017–18,29.11,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population,Total - 2017–18,85.03,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Children age 2–19,Total - 2017–18,74.86,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Adults age 20–64,Total - 2017–18,89.89,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Seniors age 65 and above,Total - 2017–18,81.70,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Household income < 185% poverty line,Total - 2017–18,80.35,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Household income 185–300% poverty line,Total - 2017–18,87.76,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Household income > 300% poverty line,Total - 2017–18,88.50,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population,Total - 2017–18,3389.87,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Children age 2–19,Total - 2017–18,2934.18,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Adults age 20–64,Total - 2017–18,3629.69,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Seniors age 65 and above,Total - 2017–18,3156.29,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Household income < 185% poverty line,Total - 2017–18,3257.18,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Household income 185–300% poverty line,Total - 2017–18,3416.97,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Household income > 300% poverty line,Total - 2017–18,3506.42,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population,At home - 2017–18,1402.55,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Children age 2–19,At home - 2017–18,1231.77,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Adults age 20–64,At home - 2017–18,1446.14,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Seniors age 65 and above,At home - 2017–18,1493.11,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Household income < 185% poverty line,At home - 2017–18,1378.77,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Household income 185–300% poverty line,At home - 2017–18,1528.84,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Household income > 300% poverty line,At home - 2017–18,1379.73,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population,At home - 2017–18,680.48,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Children age 2–19,At home - 2017–18,672.11,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Adults age 20–64,At home - 2017–18,675.74,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Seniors age 65 and above,At home - 2017–18,711.37,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Household income < 185% poverty line,At home - 2017–18,669.56,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Household income 185–300% poverty line,At home - 2017–18,716.26,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Household income > 300% poverty line,At home - 2017–18,677.99,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population,At home - 2017–18,187.71,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Children age 2–19,At home - 2017–18,148.80,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Adults age 20–64,At home - 2017–18,200.48,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Seniors age 65 and above,At home - 2017–18,197.43,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Household income < 185% poverty line,At home - 2017–18,182.97,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Household income 185–300% poverty line,At home - 2017–18,209.05,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Household income > 300% poverty line,At home - 2017–18,184.55,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population,At home - 2017–18,11.60,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Children age 2–19,At home - 2017–18,9.45,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Adults age 20–64,At home - 2017–18,11.90,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Seniors age 65 and above,At home - 2017–18,13.72,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Household income < 185% poverty line,At home - 2017–18,10.90,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Household income 185–300% poverty line,At home - 2017–18,12.21,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Household income > 300% poverty line,At home - 2017–18,12.05,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population,At home - 2017–18,9.96,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Children age 2–19,At home - 2017–18,9.34,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Adults age 20–64,At home - 2017–18,9.92,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Seniors age 65 and above,At home - 2017–18,11.08,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Household income < 185% poverty line,At home - 2017–18,10.02,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Household income 185–300% poverty line,At home - 2017–18,10.89,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Household income > 300% poverty line,At home - 2017–18,9.57,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population,At home - 2017–18,18.08,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Children age 2–19,At home - 2017–18,16.33,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Adults age 20–64,At home - 2017–18,18.27,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Seniors age 65 and above,At home - 2017–18,19.99,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Household income < 185% poverty line,At home - 2017–18,17.16,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Household income 185–300% poverty line,At home - 2017–18,20.02,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Household income > 300% poverty line,At home - 2017–18,18.25,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population,At home - 2017–18,54.50,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Children age 2–19,At home - 2017–18,47.02,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Adults age 20–64,At home - 2017–18,55.88,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Seniors age 65 and above,At home - 2017–18,60.47,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Household income < 185% poverty line,At home - 2017–18,51.76,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Household income 185–300% poverty line,At home - 2017–18,59.50,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Household income > 300% poverty line,At home - 2017–18,55.30,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population,At home - 2017–18,2109.32,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Children age 2–19,At home - 2017–18,1835.85,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Adults age 20–64,At home - 2017–18,2177.55,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Seniors age 65 and above,At home - 2017–18,2260.46,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Household income < 185% poverty line,At home - 2017–18,2057.37,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Household income 185–300% poverty line,At home - 2017–18,2307.70,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Household income > 300% poverty line,At home - 2017–18,2087.39,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population,Away from home-Total-2017–18,690.60,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Children age 2–19,Away from home-Total-2017–18,662.66,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Adults age 20–64,Away from home-Total-2017–18,760.91,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Seniors age 65 and above,Away from home-Total-2017–18,462.30,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Household income < 185% poverty line,Away from home-Total-2017–18,653.76,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Household income 185–300% poverty line,Away from home-Total-2017–18,631.29,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Household income > 300% poverty line,Away from home-Total-2017–18,747.00,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population,Away from home-Total-2017–18,287.55,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Children age 2–19,Away from home-Total-2017–18,301.10,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Adults age 20–64,Away from home-Total-2017–18,311.86,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Seniors age 65 and above,Away from home-Total-2017–18,173.48,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Household income < 185% poverty line,Away from home-Total-2017–18,264.89,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Household income 185–300% poverty line,Away from home-Total-2017–18,265.34,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Household income > 300% poverty line,Away from home-Total-2017–18,317.10,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population,Away from home-Total-2017–18,99.68,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Children age 2–19,Away from home-Total-2017–18,76.28,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Adults age 20–64,Away from home-Total-2017–18,114.00,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Seniors age 65 and above,Away from home-Total-2017–18,79.96,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Household income < 185% poverty line,Away from home-Total-2017–18,88.63,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Household income 185–300% poverty line,Away from home-Total-2017–18,88.04,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Household income > 300% poverty line,Away from home-Total-2017–18,114.38,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population,Away from home-Total-2017–18,4.61,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Children age 2–19,Away from home-Total-2017–18,4.67,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Adults age 20–64,Away from home-Total-2017–18,4.96,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Seniors age 65 and above,Away from home-Total-2017–18,3.15,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Household income < 185% poverty line,Away from home-Total-2017–18,4.55,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Household income 185–300% poverty line,Away from home-Total-2017–18,4.06,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Household income > 300% poverty line,Away from home-Total-2017–18,4.86,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population,Away from home-Total-2017–18,4.01,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Children age 2–19,Away from home-Total-2017–18,3.89,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Adults age 20–64,Away from home-Total-2017–18,4.38,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Seniors age 65 and above,Away from home-Total-2017–18,2.75,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Household income < 185% poverty line,Away from home-Total-2017–18,3.79,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Household income 185–300% poverty line,Away from home-Total-2017–18,3.64,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Household income > 300% poverty line,Away from home-Total-2017–18,4.34,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population,Away from home-Total-2017–18,9.93,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Children age 2–19,Away from home-Total-2017–18,9.48,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Adults age 20–64,Away from home-Total-2017–18,10.93,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Seniors age 65 and above,Away from home-Total-2017–18,6.74,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Household income < 185% poverty line,Away from home-Total-2017–18,9.23,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Household income 185–300% poverty line,Away from home-Total-2017–18,9.17,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Household income > 300% poverty line,Away from home-Total-2017–18,10.86,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population,Away from home-Total-2017–18,30.53,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Children age 2–19,Away from home-Total-2017–18,27.84,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Adults age 20–64,Away from home-Total-2017–18,34.01,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Seniors age 65 and above,Away from home-Total-2017–18,21.23,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Household income < 185% poverty line,Away from home-Total-2017–18,28.59,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Household income 185–300% poverty line,Away from home-Total-2017–18,28.27,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Household income > 300% poverty line,Away from home-Total-2017–18,33.20,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population,Away from home-Total-2017–18,1280.54,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Children age 2–19,Away from home-Total-2017–18,1098.33,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Adults age 20–64,Away from home-Total-2017–18,1452.14,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Seniors age 65 and above,Away from home-Total-2017–18,895.83,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Household income < 185% poverty line,Away from home-Total-2017–18,1199.80,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Household income 185–300% poverty line,Away from home-Total-2017–18,1109.27,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Household income > 300% poverty line,Away from home-Total-2017–18,1419.03,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population,Away from home-Restaurant-2017–18,173.28,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Children age 2–19,Away from home-Restaurant-2017–18,84.90,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Adults age 20–64,Away from home-Restaurant-2017–18,207.77,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Seniors age 65 and above,Away from home-Restaurant-2017–18,174.26,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Household income < 185% poverty line,Away from home-Restaurant-2017–18,121.03,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Household income 185–300% poverty line,Away from home-Restaurant-2017–18,144.26,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Household income > 300% poverty line,Away from home-Restaurant-2017–18,233.46,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population,Away from home-Restaurant-2017–18,56.80,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Children age 2–19,Away from home-Restaurant-2017–18,25.98,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Adults age 20–64,Away from home-Restaurant-2017–18,68.65,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Seniors age 65 and above,Away from home-Restaurant-2017–18,57.79,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Household income < 185% poverty line,Away from home-Restaurant-2017–18,35.73,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
