Nutrient group,Variable,Value,Commodity
"Calcium (mg/1,000 calories) - Total population - Household income 185–300% poverty line",Total - 2017–18,470.47,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Household income > 300% poverty line",Total - 2017–18,501.34,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population",Total - 2017–18,139.53,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Children age 2–19",Total - 2017–18,119.05,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Adults age 20–64",Total - 2017–18,146.09,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Seniors age 65 and above",Total - 2017–18,145.27,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Household income < 185% poverty line",Total - 2017–18,136.94,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Household income 185–300% poverty line",Total - 2017–18,137.37,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Household income > 300% poverty line",Total - 2017–18,142.78,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population",Total - 2017–18,8.05,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Children age 2–19",Total - 2017–18,7.65,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Adults age 20–64",Total - 2017–18,7.97,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Seniors age 65 and above",Total - 2017–18,8.97,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Household income < 185% poverty line",Total - 2017–18,7.98,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Household income 185–300% poverty line",Total - 2017–18,7.79,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Household income > 300% poverty line",Total - 2017–18,8.21,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population",Total - 2017–18,6.88,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Children age 2–19",Total - 2017–18,7.12,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Adults age 20–64",Total - 2017–18,6.68,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Seniors age 65 and above",Total - 2017–18,7.3,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Household income < 185% poverty line",Total - 2017–18,6.97,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Household income 185–300% poverty line",Total - 2017–18,6.86,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Household income > 300% poverty line",Total - 2017–18,6.81,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population,Total - 2017–18,13.12,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Children age 2–19,Total - 2017–18,13.35,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Adults age 20–64,Total - 2017–18,12.97,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Seniors age 65 and above,Total - 2017–18,13.35,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Household income < 185% poverty line,Total - 2017–18,12.75,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Household income 185–300% poverty line,Total - 2017–18,13.36,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Household income > 300% poverty line,Total - 2017–18,13.39,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population,Total - 2017–18,39.88,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Children age 2–19,Total - 2017–18,38.73,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Adults age 20–64,Total - 2017–18,40.01,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Seniors age 65 and above,Total - 2017–18,41.11,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Household income < 185% poverty line,Total - 2017–18,38.86,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Household income 185–300% poverty line,Total - 2017–18,40.02,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Household income > 300% poverty line,Total - 2017–18,40.8,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population",Total - 2017–18,1687.77,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Children age 2–19",Total - 2017–18,1552.08,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Adults age 20–64",Total - 2017–18,1750.67,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Seniors age 65 and above",Total - 2017–18,1651.02,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Household income < 185% poverty line",Total - 2017–18,1631.91,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Household income 185–300% poverty line",Total - 2017–18,1598.27,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Household income > 300% poverty line",Total - 2017–18,1773.16,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population",At home - 2017–18,573.2,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Children age 2–19",At home - 2017–18,589.83,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Adults age 20–64",At home - 2017–18,584.18,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Seniors age 65 and above",At home - 2017–18,506.7,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Household income < 185% poverty line",At home - 2017–18,597.13,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Household income 185–300% poverty line",At home - 2017–18,514.79,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Household income > 300% poverty line",At home - 2017–18,571.69,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population",At home - 2017–18,130.44,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Children age 2–19",At home - 2017–18,116.03,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Adults age 20–64",At home - 2017–18,136.41,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Seniors age 65 and above",At home - 2017–18,129.12,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Household income < 185% poverty line",At home - 2017–18,130.12,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Household income 185–300% poverty line",At home - 2017–18,130.19,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Household income > 300% poverty line",At home - 2017–18,130.84,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population",At home - 2017–18,8.4,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Children age 2–19",At home - 2017–18,8.17,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Adults age 20–64",At home - 2017–18,8.21,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Seniors age 65 and above",At home - 2017–18,9.47,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Household income < 185% poverty line",At home - 2017–18,8.25,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Household income 185–300% poverty line",At home - 2017–18,8.07,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Household income > 300% poverty line",At home - 2017–18,8.66,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population",At home - 2017–18,7.39,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Children age 2–19",At home - 2017–18,7.89,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Adults age 20–64",At home - 2017–18,7.09,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Seniors age 65 and above",At home - 2017–18,7.78,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Household income < 185% poverty line",At home - 2017–18,7.51,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Household income 185–300% poverty line",At home - 2017–18,7.14,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Household income > 300% poverty line",At home - 2017–18,7.35,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population,At home - 2017–18,12.16,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Children age 2–19,At home - 2017–18,12.52,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Adults age 20–64,At home - 2017–18,11.86,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Seniors age 65 and above,At home - 2017–18,12.76,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Household income < 185% poverty line,At home - 2017–18,11.77,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Household income 185–300% poverty line,At home - 2017–18,12.5,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Household income > 300% poverty line,At home - 2017–18,12.4,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population,At home - 2017–18,36.81,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Children age 2–19,At home - 2017–18,36.15,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Adults age 20–64,At home - 2017–18,36.53,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Seniors age 65 and above,At home - 2017–18,38.84,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Household income < 185% poverty line,At home - 2017–18,35.87,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Household income 185–300% poverty line,At home - 2017–18,37.31,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Household income > 300% poverty line,At home - 2017–18,37.52,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population",At home - 2017–18,1535.71,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Children age 2–19",At home - 2017–18,1467.69,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Adults age 20–64",At home - 2017–18,1570.98,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Seniors age 65 and above",At home - 2017–18,1502.46,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Household income < 185% poverty line",At home - 2017–18,1495.1,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Household income 185–300% poverty line",At home - 2017–18,1509.75,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Household income > 300% poverty line",At home - 2017–18,1583.34,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population",Away from home-Total-2017–18,461.81,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Children age 2–19",Away from home-Total-2017–18,456.29,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Adults age 20–64",Away from home-Total-2017–18,484.77,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Seniors age 65 and above",Away from home-Total-2017–18,364.76,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Household income < 185% poverty line",Away from home-Total-2017–18,398.45,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Household income 185–300% poverty line",Away from home-Total-2017–18,599.74,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Household income > 300% poverty line",Away from home-Total-2017–18,471.39,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population",Away from home-Total-2017–18,140.74,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Children age 2–19",Away from home-Total-2017–18,107.82,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Adults age 20–64",Away from home-Total-2017–18,149.01,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Seniors age 65 and above",Away from home-Total-2017–18,165.5,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Household income < 185% poverty line",Away from home-Total-2017–18,131.22,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Household income 185–300% poverty line",Away from home-Total-2017–18,127.74,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Household income > 300% poverty line",Away from home-Total-2017–18,153.21,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population",Away from home-Total-2017–18,6.87,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Children age 2–19",Away from home-Total-2017–18,7.35,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Adults age 20–64",Away from home-Total-2017–18,6.66,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Seniors age 65 and above",Away from home-Total-2017–18,6.89,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Household income < 185% poverty line",Away from home-Total-2017–18,7.32,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Household income 185–300% poverty line",Away from home-Total-2017–18,6.61,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Household income > 300% poverty line",Away from home-Total-2017–18,6.56,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population",Away from home-Total-2017–18,5.9,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Children age 2–19",Away from home-Total-2017–18,5.81,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Adults age 20–64",Away from home-Total-2017–18,5.83,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Seniors age 65 and above",Away from home-Total-2017–18,6.39,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Household income < 185% poverty line",Away from home-Total-2017–18,5.83,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Household income 185–300% poverty line",Away from home-Total-2017–18,5.78,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Household income > 300% poverty line",Away from home-Total-2017–18,6,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population,Away from home-Total-2017–18,13.93,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Children age 2–19,Away from home-Total-2017–18,13.6,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Adults age 20–64,Away from home-Total-2017–18,14.01,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Seniors age 65 and above,Away from home-Total-2017–18,14.19,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Household income < 185% poverty line,Away from home-Total-2017–18,13.54,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Household income 185–300% poverty line,Away from home-Total-2017–18,14.19,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Household income > 300% poverty line,Away from home-Total-2017–18,14.18,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population,Away from home-Total-2017–18,42.07,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Children age 2–19,Away from home-Total-2017–18,39.4,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Adults age 20–64,Away from home-Total-2017–18,42.71,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Seniors age 65 and above,Away from home-Total-2017–18,44.21,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Household income < 185% poverty line,Away from home-Total-2017–18,41.28,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Household income 185–300% poverty line,Away from home-Total-2017–18,42.88,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Household income > 300% poverty line,Away from home-Total-2017–18,42.49,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population",Away from home-Total-2017–18,1993.35,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Children age 2–19",Away from home-Total-2017–18,1593.16,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Adults age 20–64",Away from home-Total-2017–18,2124,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Seniors age 65 and above",Away from home-Total-2017–18,2152.78,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Household income < 185% poverty line",Away from home-Total-2017–18,1818.97,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Household income 185–300% poverty line",Away from home-Total-2017–18,1955.36,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Household income > 300% poverty line",Away from home-Total-2017–18,2156.26,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population",Away from home-Restaurant-2017–18,344.7,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total populAway fromion - Children age 2–19",Away from home-Restaurant-2017–18,331.01,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total populAway fromion - Adults age 20–64",Away from home-Restaurant-2017–18,347.94,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Seniors age 65 and above",Away from home-Restaurant-2017–18,342.61,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Household income < 185% poverty line",Away from home-Restaurant-2017–18,315.44,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Household income 185–300% poverty line",Away from home-Restaurant-2017–18,400.86,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Household income > 300% poverty line",Away from home-Restaurant-2017–18,346.92,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population",Away from home-Restaurant-2017–18,193.7,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Children age 2–19",Away from home-Restaurant-2017–18,172.28,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Adults age 20–64",Away from home-Restaurant-2017–18,192.9,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Seniors age 65 and above",Away from home-Restaurant-2017–18,212.92,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Household income < 185% poverty line",Away from home-Restaurant-2017–18,188.56,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Household income 185–300% poverty line",Away from home-Restaurant-2017–18,183.64,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Household income > 300% poverty line",Away from home-Restaurant-2017–18,198.72,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population",Away from home-Restaurant-2017–18,7.37,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Children age 2–19",Away from home-Restaurant-2017–18,6.48,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Adults age 20–64",Away from home-Restaurant-2017–18,7.56,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Seniors age 65 and above",Away from home-Restaurant-2017–18,7.36,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Household income < 185% poverty line",Away from home-Restaurant-2017–18,7.72,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Household income 185–300% poverty line",Away from home-Restaurant-2017–18,6.75,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Household income > 300% poverty line",Away from home-Restaurant-2017–18,7.34,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population",Away from home-Restaurant-2017–18,6.16,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Children age 2–19",Away from home-Restaurant-2017–18,5.46,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Adults age 20–64",Away from home-Restaurant-2017–18,6.14,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Seniors age 65 and above",Away from home-Restaurant-2017–18,6.78,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Household income < 185% poverty line",Away from home-Restaurant-2017–18,5.9,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Household income 185–300% poverty line",Away from home-Restaurant-2017–18,5.74,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Household income > 300% poverty line",Away from home-Restaurant-2017–18,6.4,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population,Away from home-Restaurant-2017–18,13.25,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Children age 2–19,Away from home-Restaurant-2017–18,13.68,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Adults age 20–64,Away from home-Restaurant-2017–18,13.2,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Seniors age 65 and above,Away from home-Restaurant-2017–18,13.12,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Household income < 185% poverty line,Away from home-Restaurant-2017–18,13.29,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Household income 185–300% poverty line,Away from home-Restaurant-2017–18,13.94,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
