Food group,Variable,Value,Commodity
Grains: refined (oz) - Total population - Household income < 185% poverty line,Total - 2017–18,5.92,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Household income 185–300% poverty line,Total - 2017–18,5.82,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Household income > 300% poverty line,Total - 2017–18,5.67,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population,Total - 2017–18,0.84,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Children age 2–19,Total - 2017–18,0.85,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Adults age 20–64,Total - 2017–18,0.78,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Seniors age 65 and above,Total - 2017–18,1.06,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Household income < 185% poverty line,Total - 2017–18,0.77,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Household income 185–300% poverty line,Total - 2017–18,0.85,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Household income > 300% poverty line,Total - 2017–18,0.91,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population,Total - 2017–18,5.84,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Children age 2–19,Total - 2017–18,4.28,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Adults age 20–64,Total - 2017–18,6.46,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Seniors age 65 and above,Total - 2017–18,5.82,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Household income < 185% poverty line,Total - 2017–18,5.39,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Household income 185–300% poverty line,Total - 2017–18,5.85,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Household income > 300% poverty line,Total - 2017–18,6.27,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population,At home - 2017–18,12.13,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Children age 2–19,At home - 2017–18,11.15,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Adults age 20–64,At home - 2017–18,12.68,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Seniors age 65 and above,At home - 2017–18,11.49,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Household income < 185% poverty line,At home - 2017–18,13.16,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Household income 185–300% poverty line,At home - 2017–18,14.41,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Household income > 300% poverty line,At home - 2017–18,10.33,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population,At home - 2017–18,23.92,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Children age 2–19,At home - 2017–18,21.95,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Adults age 20–64,At home - 2017–18,23.89,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Seniors age 65 and above,At home - 2017–18,26.99,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Household income < 185% poverty line,At home - 2017–18,22.65,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Household income 185–300% poverty line,At home - 2017–18,27.4,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Household income > 300% poverty line,At home - 2017–18,23.87,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population,At home - 2017–18,17.58,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Children age 2–19,At home - 2017–18,14.62,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Adults age 20–64,At home - 2017–18,18.3,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Seniors age 65 and above,At home - 2017–18,19.26,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Household income < 185% poverty line,At home - 2017–18,16.61,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Household income 185–300% poverty line,At home - 2017–18,17.85,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Household income > 300% poverty line,At home - 2017–18,18.4,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population,At home - 2017–18,1.07,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Children age 2–19,At home - 2017–18,1.19,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Adults age 20–64,At home - 2017–18,1,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Seniors age 65 and above,At home - 2017–18,1.12,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Household income < 185% poverty line,At home - 2017–18,1.05,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Household income 185–300% poverty line,At home - 2017–18,1.15,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Household income > 300% poverty line,At home - 2017–18,1.05,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population,At home - 2017–18,0.8,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Children age 2–19,At home - 2017–18,0.85,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Adults age 20–64,At home - 2017–18,0.73,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Seniors age 65 and above,At home - 2017–18,1,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Household income < 185% poverty line,At home - 2017–18,0.73,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Household income 185–300% poverty line,At home - 2017–18,0.82,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Household income > 300% poverty line,At home - 2017–18,0.85,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population,At home - 2017–18,0.9,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Children age 2–19,At home - 2017–18,0.53,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Adults age 20–64,At home - 2017–18,0.99,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Seniors age 65 and above,At home - 2017–18,1.12,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Household income < 185% poverty line,At home - 2017–18,0.79,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Household income 185–300% poverty line,At home - 2017–18,0.94,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Household income > 300% poverty line,At home - 2017–18,0.99,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population,At home - 2017–18,0.22,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Children age 2–19,At home - 2017–18,0.17,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Adults age 20–64,At home - 2017–18,0.24,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Seniors age 65 and above,At home - 2017–18,0.25,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Household income < 185% poverty line,At home - 2017–18,0.22,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Household income 185–300% poverty line,At home - 2017–18,0.28,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Household income > 300% poverty line,At home - 2017–18,0.21,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population,At home - 2017–18,0.16,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Children age 2–19,At home - 2017–18,0.11,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Adults age 20–64,At home - 2017–18,0.17,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Seniors age 65 and above,At home - 2017–18,0.2,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Household income < 185% poverty line,At home - 2017–18,0.15,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Household income 185–300% poverty line,At home - 2017–18,0.14,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Household income > 300% poverty line,At home - 2017–18,0.18,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population,At home - 2017–18,0.07,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Children age 2–19,At home - 2017–18,0.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Adults age 20–64,At home - 2017–18,0.07,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Seniors age 65 and above,At home - 2017–18,0.1,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Household income < 185% poverty line,At home - 2017–18,0.05,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Household income 185–300% poverty line,At home - 2017–18,0.07,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Household income > 300% poverty line,At home - 2017–18,0.08,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population,At home - 2017–18,0.1,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Children age 2–19,At home - 2017–18,0.05,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Adults age 20–64,At home - 2017–18,0.12,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Seniors age 65 and above,At home - 2017–18,0.12,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Household income < 185% poverty line,At home - 2017–18,0.07,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Household income 185–300% poverty line,At home - 2017–18,0.1,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Household income > 300% poverty line,At home - 2017–18,0.13,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population,At home - 2017–18,4.28,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Children age 2–19,At home - 2017–18,4.37,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Adults age 20–64,At home - 2017–18,4.22,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Seniors age 65 and above,At home - 2017–18,4.35,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Household income < 185% poverty line,At home - 2017–18,4.43,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Household income 185–300% poverty line,At home - 2017–18,4.52,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Household income > 300% poverty line,At home - 2017–18,4.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population,At home - 2017–18,3.55,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Children age 2–19,At home - 2017–18,3.72,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Adults age 20–64,At home - 2017–18,3.53,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Seniors age 65 and above,At home - 2017–18,3.35,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Household income < 185% poverty line,At home - 2017–18,3.8,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Household income 185–300% poverty line,At home - 2017–18,3.76,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Household income > 300% poverty line,At home - 2017–18,3.24,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population,At home - 2017–18,0.73,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Children age 2–19,At home - 2017–18,0.64,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Adults age 20–64,At home - 2017–18,0.69,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Seniors age 65 and above,At home - 2017–18,1,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Household income < 185% poverty line,At home - 2017–18,0.63,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Household income 185–300% poverty line,At home - 2017–18,0.76,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Household income > 300% poverty line,At home - 2017–18,0.8,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population,At home - 2017–18,3.8,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Children age 2–19,At home - 2017–18,2.75,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Adults age 20–64,At home - 2017–18,4.1,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Seniors age 65 and above,At home - 2017–18,4.24,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Household income < 185% poverty line,At home - 2017–18,3.49,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Household income 185–300% poverty line,At home - 2017–18,4.06,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Household income > 300% poverty line,At home - 2017–18,4.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population,Away from home-Total-2017–18,4.81,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Children age 2–19,Away from home-Total-2017–18,5.4,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Adults age 20–64,Away from home-Total-2017–18,5.07,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Seniors age 65 and above,Away from home-Total-2017–18,2.87,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Household income < 185% poverty line,Away from home-Total-2017–18,4.54,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Household income 185–300% poverty line,Away from home-Total-2017–18,4.53,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Household income > 300% poverty line,Away from home-Total-2017–18,5.16,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population,Away from home-Total-2017–18,12.32,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Children age 2–19,Away from home-Total-2017–18,11.89,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Adults age 20–64,Away from home-Total-2017–18,13.43,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Seniors age 65 and above,Away from home-Total-2017–18,8.71,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Household income < 185% poverty line,Away from home-Total-2017–18,11.46,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Household income 185–300% poverty line,Away from home-Total-2017–18,11.9,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Household income > 300% poverty line,Away from home-Total-2017–18,13.29,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population,Away from home-Total-2017–18,11.55,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Children age 2–19,Away from home-Total-2017–18,10.06,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Adults age 20–64,Away from home-Total-2017–18,13.06,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Seniors age 65 and above,Away from home-Total-2017–18,7.95,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Household income < 185% poverty line,Away from home-Total-2017–18,10.81,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Household income 185–300% poverty line,Away from home-Total-2017–18,10.29,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Household income > 300% poverty line,Away from home-Total-2017–18,12.69,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population,Away from home-Total-2017–18,0.47,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Children age 2–19,Away from home-Total-2017–18,0.62,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Adults age 20–64,Away from home-Total-2017–18,0.47,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Seniors age 65 and above,Away from home-Total-2017–18,0.22,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Household income < 185% poverty line,Away from home-Total-2017–18,0.44,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Household income 185–300% poverty line,Away from home-Total-2017–18,0.43,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Household income > 300% poverty line,Away from home-Total-2017–18,0.5,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population,Away from home-Total-2017–18,0.13,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Children age 2–19,Away from home-Total-2017–18,0.25,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Adults age 20–64,Away from home-Total-2017–18,0.1,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Seniors age 65 and above,Away from home-Total-2017–18,0.08,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Household income < 185% poverty line,Away from home-Total-2017–18,0.15,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Household income 185–300% poverty line,Away from home-Total-2017–18,0.12,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Household income > 300% poverty line,Away from home-Total-2017–18,0.12,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population,Away from home-Total-2017–18,0.49,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Children age 2–19,Away from home-Total-2017–18,0.33,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Adults age 20–64,Away from home-Total-2017–18,0.57,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Seniors age 65 and above,Away from home-Total-2017–18,0.41,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Household income < 185% poverty line,Away from home-Total-2017–18,0.45,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Household income 185–300% poverty line,Away from home-Total-2017–18,0.43,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Household income > 300% poverty line,Away from home-Total-2017–18,0.54,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population,Away from home-Total-2017–18,0.14,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Children age 2–19,Away from home-Total-2017–18,0.12,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Adults age 20–64,Away from home-Total-2017–18,0.15,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Seniors age 65 and above,Away from home-Total-2017–18,0.11,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Household income < 185% poverty line,Away from home-Total-2017–18,0.14,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Household income 185–300% poverty line,Away from home-Total-2017–18,0.12,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Household income > 300% poverty line,Away from home-Total-2017–18,0.14,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population,Away from home-Total-2017–18,0.09,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Children age 2–19,Away from home-Total-2017–18,0.08,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Adults age 20–64,Away from home-Total-2017–18,0.11,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Seniors age 65 and above,Away from home-Total-2017–18,0.07,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Household income < 185% poverty line,Away from home-Total-2017–18,0.08,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Household income 185–300% poverty line,Away from home-Total-2017–18,0.08,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Household income > 300% poverty line,Away from home-Total-2017–18,0.11,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population,Away from home-Total-2017–18,0.03,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Children age 2–19,Away from home-Total-2017–18,0.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Adults age 20–64,Away from home-Total-2017–18,0.03,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Seniors age 65 and above,Away from home-Total-2017–18,0.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Household income < 185% poverty line,Away from home-Total-2017–18,0.03,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Household income 185–300% poverty line,Away from home-Total-2017–18,0.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Household income > 300% poverty line,Away from home-Total-2017–18,0.03,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population,Away from home-Total-2017–18,0.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Children age 2–19,Away from home-Total-2017–18,0.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Adults age 20–64,Away from home-Total-2017–18,0.05,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Seniors age 65 and above,Away from home-Total-2017–18,0.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Household income < 185% poverty line,Away from home-Total-2017–18,0.03,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
